Tarih,Ulke,Vaka,Iyilesen,Olum
2020-01-22,Turkey,0,0,0
2020-01-23,Turkey,0,0,0
2020-01-24,Turkey,0,0,0
2020-01-25,Turkey,0,0,0
2020-01-26,Turkey,0,0,0
2020-01-27,Turkey,0,0,0
2020-01-28,Turkey,0,0,0
2020-01-29,Turkey,0,0,0
2020-01-30,Turkey,0,0,0
2020-01-31,Turkey,0,0,0
2020-02-01,Turkey,0,0,0
2020-02-02,Turkey,0,0,0
2020-02-03,Turkey,0,0,0
2020-02-04,Turkey,0,0,0
2020-02-05,Turkey,0,0,0
2020-02-06,Turkey,0,0,0
2020-02-07,Turkey,0,0,0
2020-02-08,Turkey,0,0,0
2020-02-09,Turkey,0,0,0
2020-02-10,Turkey,0,0,0
2020-02-11,Turkey,0,0,0
2020-02-12,Turkey,0,0,0
2020-02-13,Turkey,0,0,0
2020-02-14,Turkey,0,0,0
2020-02-15,Turkey,0,0,0
2020-02-16,Turkey,0,0,0
2020-02-17,Turkey,0,0,0
2020-02-18,Turkey,0,0,0
2020-02-19,Turkey,0,0,0
2020-02-20,Turkey,0,0,0
2020-02-21,Turkey,0,0,0
2020-02-22,Turkey,0,0,0
2020-02-23,Turkey,0,0,0
2020-02-24,Turkey,0,0,0
2020-02-25,Turkey,0,0,0
2020-02-26,Turkey,0,0,0
2020-02-27,Turkey,0,0,0
2020-02-28,Turkey,0,0,0
2020-02-29,Turkey,0,0,0
2020-03-01,Turkey,0,0,0
2020-03-02,Turkey,0,0,0
2020-03-03,Turkey,0,0,0
2020-03-04,Turkey,0,0,0
2020-03-05,Turkey,0,0,0
2020-03-06,Turkey,0,0,0
2020-03-07,Turkey,0,0,0
2020-03-08,Turkey,0,0,0
2020-03-09,Turkey,0,0,0
2020-03-10,Turkey,0,0,0
2020-03-11,Turkey,1,0,0
2020-03-12,Turkey,1,0,0
2020-03-13,Turkey,5,0,0
2020-03-14,Turkey,5,0,0
2020-03-15,Turkey,6,0,0
2020-03-16,Turkey,18,0,0
2020-03-17,Turkey,47,0,1
2020-03-18,Turkey,98,0,1
2020-03-19,Turkey,192,0,3
2020-03-20,Turkey,359,0,4
2020-03-21,Turkey,670,0,9
2020-03-22,Turkey,1236,0,30
2020-03-23,Turkey,1529,0,37
2020-03-24,Turkey,1872,0,44
2020-03-25,Turkey,2433,26,59
2020-03-26,Turkey,3629,26,75
2020-03-27,Turkey,5698,42,92
2020-03-28,Turkey,7402,70,108
2020-03-29,Turkey,9217,105,131
2020-03-30,Turkey,10827,162,168
2020-03-31,Turkey,13531,243,214
2020-04-01,Turkey,15679,333,277
2020-04-02,Turkey,18135,415,356
2020-04-03,Turkey,20921,484,425
2020-04-04,Turkey,23934,786,501
2020-04-05,Turkey,27069,1042,574
2020-04-06,Turkey,30217,1326,649
2020-04-07,Turkey,34109,1582,725
2020-04-08,Turkey,38226,1846,812
2020-04-09,Turkey,42282,2142,908
2020-04-10,Turkey,47029,2423,1006
2020-04-11,Turkey,52167,2965,1101
2020-04-12,Turkey,56956,3446,1198
2020-04-13,Turkey,61049,3957,1296
2020-04-14,Turkey,65111,4799,1403
2020-04-15,Turkey,69392,5674,1518
2020-04-16,Turkey,74193,7089,1643
2020-04-17,Turkey,78546,8631,1769
2020-04-18,Turkey,82329,10453,1890
2020-04-19,Turkey,86306,11976,2017
2020-04-20,Turkey,90980,13430,2140
2020-04-21,Turkey,95591,14918,2259
2020-04-22,Turkey,98674,16477,2376
2020-04-23,Turkey,101790,18491,2491
2020-04-24,Turkey,104912,21737,2600
2020-04-25,Turkey,107773,25582,2706
2020-04-26,Turkey,110130,29140,2805
2020-04-27,Turkey,112261,33791,2900
2020-04-28,Turkey,114653,38809,2992
2020-04-29,Turkey,117589,44040,3081
2020-04-30,Turkey,120204,48886,3174
2020-05-01,Turkey,122392,53808,3258
2020-05-02,Turkey,124375,58259,3336
2020-05-03,Turkey,126045,63151,3397
2020-05-04,Turkey,127659,68166,3461
2020-05-05,Turkey,129491,73285,3520
2020-05-06,Turkey,131744,78202,3584
2020-05-07,Turkey,133721,82984,3641
2020-05-08,Turkey,135569,86396,3689
2020-05-09,Turkey,137115,89480,3739
2020-05-10,Turkey,138657,92691,3786
2020-05-11,Turkey,139771,95780,3841
2020-05-12,Turkey,141475,98889,3894
2020-05-13,Turkey,143114,101715,3952
2020-05-14,Turkey,144749,104030,4007
2020-05-15,Turkey,146457,106133,4055
2020-05-16,Turkey,148067,108137,4096
2020-05-17,Turkey,149435,109962,4140
2020-05-18,Turkey,150593,111577,4171
2020-05-19,Turkey,151615,112895,4199
2020-05-20,Turkey,152587,113987,4222
2020-05-21,Turkey,153548,114990,4249
2020-05-22,Turkey,154500,116111,4276
2020-05-23,Turkey,155686,117602,4308
2020-05-24,Turkey,156827,118694,4340
2020-05-25,Turkey,157814,120015,4369
2020-05-26,Turkey,158762,121507,4397
2020-05-27,Turkey,159797,122793,4431
2020-05-28,Turkey,160979,124369,4461
2020-05-29,Turkey,162120,125963,4489
2020-05-30,Turkey,163103,126984,4515
2020-05-31,Turkey,163942,127973,4540
2020-06-01,Turkey,164769,128947,4563
2020-06-02,Turkey,165555,129921,4585
2020-06-03,Turkey,166422,130852,4609
2020-06-04,Turkey,167410,131778,4630
2020-06-05,Turkey,168340,133400,4648
2020-06-06,Turkey,169218,135322,4669
2020-06-07,Turkey,170132,137969,4692
2020-06-08,Turkey,171121,141380,4711
2020-06-09,Turkey,172114,144598,4729
2020-06-10,Turkey,173036,146839,4746
2020-06-11,Turkey,174023,147860,4763
2020-06-12,Turkey,175218,149102,4778
2020-06-13,Turkey,176677,150087,4792
2020-06-14,Turkey,178239,151417,4807
2020-06-15,Turkey,179831,152364,4825
2020-06-16,Turkey,181298,153379,4842
2020-06-17,Turkey,182727,154640,4861
2020-06-18,Turkey,184031,156022,4882
2020-06-19,Turkey,185245,157516,4905
2020-06-20,Turkey,186493,158828,4927
2020-06-21,Turkey,187685,160240,4950
2020-06-22,Turkey,188897,161533,4974
2020-06-23,Turkey,190165,162848,5001
2020-06-24,Turkey,191657,164234,5025
2020-06-25,Turkey,193115,165706,5046
2020-06-26,Turkey,194511,167198,5065
2020-06-27,Turkey,195883,169182,5082
2020-06-28,Turkey,197239,170595,5097
2020-06-29,Turkey,198613,171809,5115
2020-06-30,Turkey,199906,173111,5131
2020-07-01,Turkey,201098,175422,5150
2020-07-02,Turkey,202284,176965,5167
2020-07-03,Turkey,203456,178278,5186
2020-07-04,Turkey,204610,179492,5206
2020-07-05,Turkey,205758,180680,5225
2020-07-06,Turkey,206844,182995,5241
2020-07-07,Turkey,207897,185292,5260
2020-07-08,Turkey,208938,187511,5282
2020-07-09,Turkey,209962,190390,5300
2020-07-10,Turkey,210965,191883,5323
2020-07-11,Turkey,211981,193217,5344
2020-07-12,Turkey,212993,194515,5363
2020-07-13,Turkey,214001,195671,5382
2020-07-14,Turkey,214993,196720,5402
2020-07-15,Turkey,215940,197733,5419
2020-07-16,Turkey,216873,198820,5440
2020-07-17,Turkey,217799,199834,5458
2020-07-18,Turkey,218717,201013,5475
2020-07-19,Turkey,219641,202010,5491
2020-07-20,Turkey,220572,203002,5508
2020-07-21,Turkey,221500,204011,5526
2020-07-22,Turkey,222402,205214,5545
2020-07-23,Turkey,223315,206365,5563
2020-07-24,Turkey,224252,207374,5580
2020-07-25,Turkey,225173,208477,5596
2020-07-26,Turkey,226100,209487,5613
2020-07-27,Turkey,227019,210469,5630
2020-07-28,Turkey,227982,211561,5645
2020-07-29,Turkey,228924,212557,5659
2020-07-30,Turkey,229891,213539,5674
2020-07-31,Turkey,230873,214535,5691
2020-08-01,Turkey,231869,215516,5710
2020-08-02,Turkey,232856,216494,5728
2020-08-03,Turkey,233851,217497,5747
2020-08-04,Turkey,234934,218491,5765
2020-08-05,Turkey,236112,219506,5784
2020-08-06,Turkey,237265,220546,5798
2020-08-07,Turkey,238450,221574,5813
2020-08-08,Turkey,239622,222656,5829
2020-08-09,Turkey,240804,223759,5844
2020-08-10,Turkey,241997,224970,5858
2020-08-11,Turkey,243180,226155,5873
2020-08-12,Turkey,244392,227089,5891
2020-08-13,Turkey,245635,228057,5912
2020-08-14,Turkey,246861,228980,5934
2020-08-15,Turkey,248117,229972,5955
2020-08-16,Turkey,249309,230969,5974
2020-08-17,Turkey,250542,231971,5996
2020-08-18,Turkey,251805,232913,6016
2020-08-19,Turkey,253108,233915,6039
2020-08-20,Turkey,254520,234797,6058
2020-08-21,Turkey,255723,235569,6080
2020-08-22,Turkey,257032,236370,6102
2020-08-23,Turkey,258249,237165,6121
2020-08-24,Turkey,259692,237908,6139
2020-08-25,Turkey,261194,238795,6163
2020-08-26,Turkey,262507,239797,6183
2020-08-27,Turkey,263998,240792,6209
2020-08-28,Turkey,265515,241809,6245
2020-08-29,Turkey,267064,242812,6284
2020-08-30,Turkey,268546,243839,6326
2020-08-31,Turkey,270133,244926,6370
2020-09-01,Turkey,271705,245929,6417
2020-09-02,Turkey,273301,246876,6462
2020-09-03,Turkey,274943,248087,6511
2020-09-04,Turkey,276555,249108,6564
2020-09-05,Turkey,278228,250092,6620
2020-09-06,Turkey,279806,251105,6673
2020-09-07,Turkey,281509,252152,6730
2020-09-08,Turkey,283270,253245,6782
2020-09-09,Turkey,284943,254188,6837
2020-09-10,Turkey,286455,255407,6895
2020-09-11,Turkey,288126,256524,6951
2020-09-12,Turkey,289635,257731,6999
2020-09-13,Turkey,291162,258833,7056
2020-09-14,Turkey,292878,260058,7119
2020-09-15,Turkey,294620,261260,7186
2020-09-16,Turkey,296391,262602,7249
2020-09-17,Turkey,298039,263745,7315
2020-09-18,Turkey,299810,264805,7377
2020-09-19,Turkey,301348,266117,7445
2020-09-20,Turkey,302867,267233,7506
2020-09-21,Turkey,304610,268435,7574
2020-09-22,Turkey,306302,269696,7639
2020-09-23,Turkey,308069,270723,7711
2020-09-24,Turkey,309790,271964,7785
2020-09-25,Turkey,311455,273282,7858
2020-09-26,Turkey,312966,274514,7929
2020-09-27,Turkey,314433,275630,7997
2020-09-28,Turkey,315845,277052,8062
2020-09-29,Turkey,317272,278504,8130
2020-09-30,Turkey,318663,279749,8195
2020-10-01,Turkey,320070,281151,8262
2020-10-02,Turkey,321512,282657,8325
2020-10-03,Turkey,323014,283868,8384
2020-10-04,Turkey,324443,285050,8441
2020-10-05,Turkey,326046,286370,8498
2020-10-06,Turkey,327557,287599,8553
2020-10-07,Turkey,329138,288954,8609
2020-10-08,Turkey,330753,290352,8667
2020-10-09,Turkey,332382,291754,8722
2020-10-10,Turkey,334031,293145,8778
2020-10-11,Turkey,335533,294357,8837
2020-10-12,Turkey,337147,295658,8895
2020-10-13,Turkey,338779,296972,8957
2020-10-14,Turkey,340450,298368,9014
2020-10-15,Turkey,342143,299679,9080
2020-10-16,Turkey,343955,301098,9153
2020-10-17,Turkey,345678,302499,9224
2020-10-18,Turkey,347493,304003,9296
2020-10-19,Turkey,349519,305427,9371
2020-10-20,Turkey,351413,306939,9445
2020-10-21,Turkey,353426,308446,9513
2020-10-22,Turkey,355528,310027,9584
2020-10-23,Turkey,357693,311520,9658
2020-10-24,Turkey,359784,313093,9727
2020-10-25,Turkey,361801,314390,9799
2020-10-26,Turkey,363999,316008,9874
2020-10-27,Turkey,366208,317519,9950
2020-10-28,Turkey,368513,319181,10027
2020-10-29,Turkey,370832,320762,10099
2020-10-30,Turkey,373154,322465,10177
2020-10-31,Turkey,375367,323971,10252
2020-11-01,Turkey,377473,325486,10326
2020-11-02,Turkey,379775,327007,10402
2020-11-03,Turkey,382118,328824,10481
2020-11-04,Turkey,384509,330665,10558
2020-11-05,Turkey,386820,332379,10639
2020-11-06,Turkey,389256,334293,10722
2020-11-07,Turkey,391739,336221,10803
2020-11-08,Turkey,394255,338239,10887
2020-11-09,Turkey,396831,340286,10972
2020-11-10,Turkey,399360,342501,11059
2020-11-11,Turkey,402053,344613,11145
2020-11-12,Turkey,404894,346794,11233
2020-11-13,Turkey,407939,348804,11326
2020-11-14,Turkey,411055,351102,11418
2020-11-15,Turkey,414278,353663,11507
2020-11-16,Turkey,417594,356375,11601
2020-11-17,Turkey,421413,359063,11704
2020-11-18,Turkey,425628,361655,11820
2020-11-19,Turkey,430170,364573,11943
2020-11-20,Turkey,435273,367592,12084
2020-11-21,Turkey,440805,370825,12219
2020-11-22,Turkey,446822,374637,12358
2020-11-23,Turkey,453535,377891,12511
2020-11-24,Turkey,460916,381569,12672
2020-11-25,Turkey,467730,385480,12840
2020-11-26,Turkey,503738,388771,13014
2020-11-27,Turkey,548244,392616,13191
2020-11-28,Turkey,578347,396227,13373
2020-11-29,Turkey,607628,400242,13558
2020-11-30,Turkey,638847,404727,13746
2020-12-01,Turkey,668957,409320,13936
2020-12-02,Turkey,700880,414141,14129
2020-12-03,Turkey,733261,418331,14316
2020-12-04,Turkey,765997,423142,14509
2020-12-05,Turkey,797893,427242,14705
2020-12-06,Turkey,828295,431253,14900
2020-12-07,Turkey,860432,436270,15103
2020-12-08,Turkey,893630,441515,15314
2020-12-09,Turkey,925342,447361,15531
2020-12-10,Turkey,1748567,452593,15751
2020-12-11,Turkey,1780673,458109,15977
2020-12-12,Turkey,1809809,1581565,16199
2020-12-13,Turkey,1836728,1603780,16417
2020-12-14,Turkey,1866345,1631944,16646
2020-12-15,Turkey,1898447,1661191,16881
2020-12-16,Turkey,1928165,1691113,17121
2020-12-17,Turkey,1955680,1721607,17364
2020-12-18,Turkey,1982090,1753552,17610
2020-12-19,Turkey,2004285,1779068,17851
2020-12-20,Turkey,2024601,1800286,18097
2020-12-21,Turkey,2043704,1834705,18351
2020-12-22,Turkey,2062960,1866815,18602
2020-12-23,Turkey,2082610,1901307,18861
2020-12-24,Turkey,2100712,1935292,19115
2020-12-25,Turkey,2118255,1970803,19371
2020-12-26,Turkey,2133373,1994034,19624
2020-12-27,Turkey,2147578,2015230,19878
2020-12-28,Turkey,2162775,2037433,20135
2020-12-29,Turkey,2178580,2058437,20388
2020-12-30,Turkey,2194272,2078629,20642
2020-12-31,Turkey,2208652,2100650,20881
2021-01-01,Turkey,2220855,2114760,21093
2021-01-02,Turkey,2232035,2126432,21295
2021-01-03,Turkey,2241912,2136534,21488
2021-01-04,Turkey,2255607,2146430,21685
2021-01-05,Turkey,2270101,2155338,21879
2021-01-06,Turkey,2283931,2164040,22070
2021-01-07,Turkey,2296102,2172251,22264
2021-01-08,Turkey,2307581,2182145,22450
2021-01-09,Turkey,2317118,2190047,22631
2021-01-10,Turkey,2326256,2198150,22807
2021-01-11,Turkey,2336476,2208451,22981
2021-01-12,Turkey,2346285,2218464,23152
2021-01-13,Turkey,2355839,2227927,23325
2021-01-14,Turkey,2364801,2236938,23495
2021-01-15,Turkey,2373115,2246047,23664
2021-01-16,Turkey,2380665,2254052,23832
2021-01-17,Turkey,2387101,2262864,23997
2021-01-18,Turkey,2392963,2270769,24161
2021-01-19,Turkey,2399781,2277987,24328
2021-01-20,Turkey,2406216,2283919,24487
2021-01-21,Turkey,2412505,2290032,24640
2021-01-22,Turkey,2418472,2296050,24789
2021-01-23,Turkey,2424328,2301861,24933
2021-01-24,Turkey,2429605,2307721,25073
2021-01-25,Turkey,2435247,2314403,25210
2021-01-26,Turkey,2442350,2322511,25344
2021-01-27,Turkey,2449839,2331314,25476
2021-01-28,Turkey,2457118,2340216,25605
2021-01-29,Turkey,2464030,2348309,25736
2021-01-30,Turkey,2470901,2355409,25865
2021-01-31,Turkey,2477463,2362415,25993
2021-02-01,Turkey,2485182,2370431,26117
2021-02-02,Turkey,2492977,2379070,26237
2021-02-03,Turkey,2501079,2387384,26354
2021-02-04,Turkey,2508988,2396199,26467
2021-02-05,Turkey,2516889,2404416,26577
2021-02-06,Turkey,2524786,2412505,26685
2021-02-07,Turkey,2531456,2420706,26797
2021-02-08,Turkey,2539559,2429273,26900
2021-02-09,Turkey,2548195,2437382,26998
2021-02-10,Turkey,2556837,2445285,27093
2021-02-11,Turkey,2564427,2453096,27187
2021-02-12,Turkey,2572190,2461204,27284
2021-02-13,Turkey,2579896,2468419,27377
2021-02-14,Turkey,2586183,2475329,27471
2021-02-15,Turkey,2594128,2482435,27562
2021-02-16,Turkey,2602034,2489624,27652
2021-02-17,Turkey,2609359,2496833,27738
2021-02-18,Turkey,2616600,2504050,27821
2021-02-19,Turkey,2624019,2511548,27903
2021-02-20,Turkey,2631876,2518758,27983
2021-02-21,Turkey,2638422,2523760,28060
2021-02-22,Turkey,2646526,2529450,28138
2021-02-23,Turkey,2655633,2534996,28213
2021-02-24,Turkey,2665194,2540293,28285
2021-02-25,Turkey,2674766,2546503,28358
2021-02-26,Turkey,2683971,2556785,28432
2021-02-27,Turkey,2693164,2565723,28503
2021-02-28,Turkey,2701588,2572234,28569
2021-03-01,Turkey,2711479,2578181,28638
2021-03-02,Turkey,2723316,2586073,28706
2021-03-03,Turkey,2734836,2593264,28771
2021-03-04,Turkey,2746158,2601137,28839
2021-03-05,Turkey,2757460,2608848,28901
2021-03-06,Turkey,2769230,2616139,28965
2021-03-07,Turkey,2780417,2623924,29030
2021-03-08,Turkey,2793632,2632030,29094
2021-03-09,Turkey,2807387,2640669,29160
2021-03-10,Turkey,2821943,2649862,29227
2021-03-11,Turkey,2835989,2659093,29290
2021-03-12,Turkey,2850930,2670273,29356
2021-03-13,Turkey,2866012,2685560,29421
2021-03-14,Turkey,2879390,2701076,29489
2021-03-15,Turkey,2894893,2716969,29552
2021-03-16,Turkey,2911642,2734862,29623
2021-03-17,Turkey,2930554,2752023,29696
2021-03-18,Turkey,2950603,2770638,29777
2021-03-19,Turkey,2971633,2788757,29864
2021-03-20,Turkey,2992694,2807572,29959
2021-03-21,Turkey,3013122,2825187,30061
2021-03-22,Turkey,3035338,2844681,30178
2021-03-23,Turkey,3061520,2863882,30316
2021-03-24,Turkey,3091282,2881643,30462
2021-03-25,Turkey,3120013,2900829,30619
2021-03-26,Turkey,3149094,2921037,30772
2021-03-27,Turkey,3179115,2939929,30923
2021-03-28,Turkey,3208173,2957093,31076
2021-03-29,Turkey,3240577,2975108,31230
2021-03-30,Turkey,3277880,2995033,31385
2021-03-31,Turkey,3317182,3014226,31537
2021-04-01,Turkey,3357988,3035043,31713
2021-04-02,Turkey,3400296,3059462,31892
2021-04-03,Turkey,3445052,3082676,32078
2021-04-04,Turkey,3487050,3105350,32263
2021-04-05,Turkey,3529601,3130977,32456
2021-04-06,Turkey,3579185,3159475,32667
2021-04-07,Turkey,3633925,3194978,32943
2021-04-08,Turkey,3689866,3232892,33201
2021-04-09,Turkey,3745657,3268678,33454
2021-04-10,Turkey,3798333,3301217,33702
2021-04-11,Turkey,3849011,3331411,33939
2021-04-12,Turkey,3903573,3372629,34182
2021-04-13,Turkey,3962760,3424733,34455
2021-04-14,Turkey,4025557,3480146,34734
2021-04-15,Turkey,4086957,3535040,35031
2021-04-16,Turkey,4150039,3591550,35320
2021-04-17,Turkey,4212645,3643734,35608
2021-04-18,Turkey,4268447,3687590,35926
2021-04-19,Turkey,4323596,3736537,36267
2021-04-20,Turkey,4384624,3792129,36613
2021-04-21,Turkey,4446591,3844342,36975
2021-04-22,Turkey,4501382,3909935,37329
2021-04-23,Turkey,4550820,3970111,37672
2021-04-24,Turkey,4591416,4022408,38011
2021-04-25,Turkey,4629969,4073644,38358
2021-04-26,Turkey,4667281,4121671,38711
2021-04-27,Turkey,4710582,4167263,39057
2021-04-28,Turkey,4751026,4212461,39398
2021-04-29,Turkey,4788700,4255714,39737
2021-04-30,Turkey,4820591,4323897,40131
2021-05-01,Turkey,4849408,4405199,40504
2021-05-02,Turkey,4875388,4480381,40844
2021-05-03,Turkey,4900121,4515819,41191
2021-05-04,Turkey,4929118,4554037,41527
2021-05-05,Turkey,4955594,4589501,41883
2021-05-06,Turkey,4977982,4626799,42187
2021-05-07,Turkey,4998089,4662328,42465
2021-05-08,Turkey,5016141,4691224,42746
2021-05-09,Turkey,5031332,4716918,43029
2021-05-10,Turkey,5044936,4743871,43311
2021-05-11,Turkey,5059433,4766124,43589
2021-05-12,Turkey,5072462,4801291,43821
2021-05-13,Turkey,5083996,4856763,44059
2021-05-14,Turkey,5095390,4894024,44301
2021-05-15,Turkey,5106862,4932838,44537
2021-05-16,Turkey,5117374,4947256,44760
2021-05-17,Turkey,5127548,4961120,44983
2021-05-18,Turkey,5139485,4971245,45186
2021-05-19,Turkey,5151038,4980516,45419
